"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"RB1","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"2",1,"Jahmyr Gibbs",DET,"RB2","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"9",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","-1"
"11",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"12",3,"Ashton Jeanty",LV,"RB6","13","","","2 out of 5 stars","0"
"13",3,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+6"
"14",3,"De'Von Achane",MIA,"RB7","6","","","3 out of 5 stars","-1"
"15",3,"Nico Collins",HOU,"WR8","8","","","3 out of 5 stars","+8"
"16",3,"Chase Brown",CIN,"RB8","6","","","2 out of 5 stars","+2"
"17",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"18",3,"Saquon Barkley",PHI,"RB9","10","","","4 out of 5 stars","-4"
"19",3,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"20",3,"George Pickens",DAL,"WR9","14","","","2 out of 5 stars","+6"
"21",3,"Omarion Hampton",LAC,"RB10","7","","","3 out of 5 stars","-4"
"22",4,"A.J. Brown",NE,"WR10","11","","","2 out of 5 stars","+2"
"23",4,"Chris Olave",NO,"WR11","8","","","3 out of 5 stars","+4"
"24",4,"Kenneth Walker III",KC,"RB11","5","","","3 out of 5 stars","-4"
"25",4,"Derrick Henry",BAL,"RB12","13","","","3 out of 5 stars","-4"
"26",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"27",4,"Rashee Rice",KC,"WR12","5","","","2 out of 5 stars","+4"
"28",4,"Malik Nabers",NYG,"WR13","8","","","4 out of 5 stars","+1"
"29",4,"Tetairoa McMillan",CAR,"WR14","5","","","2 out of 5 stars","+11"
"30",5,"Jeremiyah Love",ARI,"RB13","14","","","2 out of 5 stars","-5"
"31",5,"Tee Higgins",CIN,"WR15","6","","","4 out of 5 stars","+6"
"32",5,"DeVonta Smith",PHI,"WR16","10","","","4 out of 5 stars","0"
"33",5,"Lamar Jackson",BAL,"QB2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"34",5,"Drake Maye",NE,"QB3","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+22"
"35",5,"Kyren Williams",LAR,"RB14","11","","","5 out of 5 stars","-7"
"36",5,"Breece Hall",NYJ,"RB15","13","","","3 out of 5 stars","-6"
"37",5,"Josh Jacobs",GB,"RB16","11","","","4 out of 5 stars","-1"
"38",5,"Garrett Wilson",NYJ,"WR17","13","","","4 out of 5 stars","+4"
"39",5,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"40",5,"Zay Flowers",BAL,"WR18","13","","","4 out of 5 stars","-1"
"41",5,"Ladd McConkey",LAC,"WR19","7","","","2 out of 5 stars","+3"
"42",5,"Javonte Williams",DAL,"RB17","14","","","4 out of 5 stars","-8"
"43",5,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-10"
"44",5,"Terry McLaurin",WAS,"WR20","7","","","2 out of 5 stars","+11"
"45",5,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"46",5,"Davante Adams",LAR,"WR21","11","","","1 out of 5 stars","+7"
"47",5,"Emeka Egbuka",TB,"WR22","10","","","4 out of 5 stars","-9"
"48",5,"Jaylen Waddle",DEN,"WR23","10","","","2 out of 5 stars","+10"
"49",6,"Luther Burden III",CHI,"WR24","10","","","3 out of 5 stars","-4"
"50",6,"Bucky Irving",TB,"RB19","10","","","2 out of 5 stars","+4"
"51",6,"Jameson Williams",DET,"WR25","6","","","4 out of 5 stars","+6"
"52",6,"Cam Skattebo",NYG,"RB20","8","","","4 out of 5 stars","-11"
"53",6,"Mike Evans",SF,"WR26","8","","","2 out of 5 stars","-1"
"54",6,"Quinshon Judkins",CLE,"RB21","11","","","3 out of 5 stars","-7"
"55",6,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6"
"56",6,"Christian Watson",GB,"WR27","11","","","5 out of 5 stars","+10"
"57",6,"D'Andre Swift",CHI,"RB22","10","","","2 out of 5 stars","+2"
"58",6,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+7"
"59",6,"TreVeyon Henderson",NE,"RB23","11","","","2 out of 5 stars","-8"
"60",6,"Tyler Warren",IND,"TE4","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-10"
"61",6,"David Montgomery",HOU,"RB24","8","","","4 out of 5 stars","-12"
