# FantasyPros salary cap cheat sheet values, transcribed from
# "Fantasy Football Cheat Sheet_ Salary Cap Values.pdf" (2026 draft).
# Baseline: $200 budget, 12 teams, 14 roster spots. Lines starting with # are skipped.
rank,player,team,value
1,Puka Nacua,LAR,66
2,Jaxon Smith-Njigba,SEA,63
3,Jahmyr Gibbs,DET,58
4,Bijan Robinson,ATL,57
5,Ja'Marr Chase,CIN,57
6,Amon-Ra St. Brown,DET,51
7,Jonathan Taylor,IND,47
8,Drake London,ATL,46
9,Christian McCaffrey,SF,44
10,Rashee Rice,KC,41
11,CeeDee Lamb,DAL,40
12,Derrick Henry,BAL,39
13,De'Von Achane,MIA,39
14,George Pickens,DAL,36
15,Justin Jefferson,MIN,36
16,A.J. Brown,NE,35
17,James Cook III,BUF,34
18,Chase Brown,CIN,33
19,Ashton Jeanty,LV,33
20,Chris Olave,NO,33
21,Saquon Barkley,PHI,32
22,Josh Jacobs,GB,32
23,Nico Collins,HOU,32
24,Zay Flowers,BAL,31
25,Omarion Hampton,LAC,29
26,Josh Allen,BUF,28
27,Breece Hall,NYJ,28
28,Trey McBride,ARI,28
29,Jeremiyah Love,ARI,27
30,Garrett Wilson,NYJ,27
31,Kyren Williams,LAR,26
32,Kenneth Walker III,KC,25
33,Javonte Williams,DAL,25
34,DeVonta Smith,PHI,25
35,Tee Higgins,CIN,25
36,Cam Skattebo,NYG,24
37,Emeka Egbuka,TB,24
38,Travis Etienne Jr.,NO,23
39,Tetairoa McMillan,CAR,23
40,Davante Adams,LAR,23
41,Brock Bowers,LV,23
42,Bucky Irving,TB,21
43,Terry McLaurin,WAS,21
44,Malik Nabers,NYG,21
45,Jameson Williams,DET,21
46,Rome Odunze,CHI,21
47,D'Andre Swift,CHI,20
48,Alec Pierce,IND,20
49,Quinshon Judkins,CLE,19
50,Ladd McConkey,LAC,18
51,Courtland Sutton,DEN,18
52,DJ Moore,BUF,18
53,Colston Loveland,CHI,18
54,Jaylen Waddle,DEN,17
55,Luther Burden III,CHI,17
56,Bhayshul Tuten,JAC,15
57,Jayden Daniels,WAS,14
58,Drake Maye,NE,14
59,TreVeyon Henderson,NE,14
60,Rico Dowdle,PIT,14
61,Marvin Harrison Jr.,ARI,14
62,Tyler Warren,IND,14
63,Lamar Jackson,BAL,13
64,Jadarian Price,SEA,13
65,DK Metcalf,PIT,13
66,Mike Evans,SF,13
67,Kyle Pitts Sr.,ATL,13
68,Jalen Hurts,PHI,12
69,Chuba Hubbard,CAR,12
70,David Montgomery,HOU,12
71,Jaylen Warren,PIT,12
72,Tony Pollard,TEN,11
